process,code,database,location
market for nickel sulfate,bfd40ce0de8e581e1100fbc9e2bf5baa,eidb 3.7,GLO
"market for wastewater, average",ff1c8e1f34a25cccba366c1a2c8c47c4,eidb 3.7,Europe without Switzerland
"market for steel, low-alloyed",d98d23d7d3583d1497b2aef6f7ede9eb,eidb 3.7,GLO
"market for transport, freight, sea, container ship",e1e88d15018316431457dc849d8cf30b,eidb 3.7,GLO
market for manganese dioxide,585b0c03d77aba6ad7b36569b4dbbf06,eidb 3.7,GLO
"extrusion, plastic film",173f794e673e7092ba56ea0344532db0,eidb 3.7,RER
"sheet rolling, aluminium",f2fe690245c8beb9705a414a1810c332,eidb 3.7,RER
market for lithium carbonate,bd1f0a7eb28eb351f6ffa5ca03a2384d,eidb 3.7,GLO
market for cobalt hydroxide,5cad610e0b2e1dd49b175b832c148e0a,eidb 3.7,GLO
market for lithium hydroxide,a401e77452444c784b47d3dc83a2f2e0,eidb 3.7,GLO
"market group for transport, freight, inland waterways, barge",c2b0b2a0aa59d0fb4ad18c68d9cf65ca,eidb 3.7,GLO
"market group for transport, freight train",a35c3caecc1d8d403f98d757e0eb534e,eidb 3.7,RER
"market for copper, cathode",d708983c1a28df8fcb362898cb196b3e,eidb 3.7,GLO
"market group for heat, district or industrial, natural gas",02fe192c5259d8be7c67e08848436f13_copy2,energy_production,RER
"market for polypropylene, granulate",c4ee598fe7c2e20fe86f502ebf38ed2f,eidb 3.7,GLO
"sheet rolling, steel",6ff673fc980833afeb85aed4b403dd92,eidb 3.7,RER
"market for polyethylene terephthalate, granulate, amorphous",f6a4dc4540c7780876b6976e25a1838c,eidb 3.7,GLO
"market for aluminium, wrought alloy",42f066ac8cdafccd972e22f42683f113,eidb 3.7,GLO
"market group for transport, freight, lorry, unspecified",a43a52a1a502836621eaa82ad408b17d,eidb 3.7,GLO
market for carbon black,deaf7bf931a14c45a2cc046659e27bb6_copy1,cathode_material,GLO
market for manganese sulfate,7071bbb23950aba44b67edee0bdd74aa,eidb 3.7,GLO
carbon black production,deaf7bf931a14c45a2cc046659e27bb6_copy1,anode_material,GLO
