database,activity,exchange,material_group,formula
cut_off_materials,cell container production,"extrusion, plastic film",technosphere,(cell_container_pp_layer+cell_container_pp_layer)/cell_container
cut_off_materials,cell container production,"aluminium, wrought alloy",technosphere,cell_container_al_layer/cell_container
cut_off_materials,cell container production,"sheet rolling, aluminium",technosphere,cell_container_al_layer/cell_container
cut_off_materials,cell container production,"polyethylene terephthalate, granulate, amorphous",technosphere,cell_container_pet_layer/cell_container
cut_off_materials,cell container production,"polypropylene, granulate",technosphere,cell_container_pp_layer/cell_container
cut_off_materials,cell container production,cell container,reference product,cell_container/cell_container
cut_off_materials,battery jacket production,"impact extrusion of aluminium, 1 stroke",technosphere,battery_jacket_al/battery_jacket
cut_off_materials,battery jacket production,battery jacket Al,technosphere,battery_jacket_al/battery_jacket
cut_off_materials,battery jacket production,battery jacket insulation,technosphere,battery_jacket_insulation/battery_jacket
cut_off_materials,battery jacket production,battery jacket Fe,technosphere,battery_jacket_fe/battery_jacket
cut_off_materials,battery jacket production,"sheet rolling, steel",technosphere,battery_jacket_fe/battery_jacket
cut_off_materials,battery jacket production,"deep drawing, steel, 10000 kN press, single stroke",technosphere,battery_jacket_fe/battery_jacket
cut_off_materials,battery jacket production,battery jacket,reference product,battery_jacket/battery_jacket
cut_off_materials,mixing anode materials,anode active material (natural graphite),technosphere,anode_active_material_natural_graphite/py_am_mixing_total
cut_off_materials,mixing anode materials,anode active material (SiO),technosphere,anode_active_material_sio/py_am_mixing_total
cut_off_materials,mixing anode materials,anode active material (synthetic graphite),technosphere,anode_active_material_synthetic_graphite/py_am_mixing_total
cut_off_materials,mixing anode materials,anode binder (CMC),technosphere,anode_binder_cmc/py_am_mixing_total
cut_off_materials,mixing anode materials,anode binder additive (SBR),technosphere,anode_binder_additive_sbr/py_am_mixing_total
cut_off_materials,mixing anode materials,binder solvent (deionised water),technosphere,binder_solvent_dionised_water/py_am_mixing_total
cut_off_materials,mixing anode materials,anode carbon black,technosphere,anode_carbon_black/py_am_mixing_total
cut_off_materials,mixing anode materials,anode slurry,reference product,anode_slurry
cut_off_materials,mixing anode materials,"electricity for battery production, medium voltage",technosphere,(anode_mixing_ratio_electricity*cell*electricity_consumption_mixing)/py_cell_aging
cut_off_materials,mixing anode materials,waste anode slurry,waste,anode_slurry*-(1-py_am_mixing)
cut_off_materials,mixing cathode materials,binder solvent (NMP),technosphere,(binder_solvent_nmp/py_am_mixing_total)-binder_solvent_recovered
cut_off_materials,mixing cathode materials,binder solvent recycled (NMP),technosphere,binder_solvent_recovered
cut_off_materials,mixing cathode materials,cathode active material (LFP),technosphere,cathode_active_material_lfp/py_am_mixing_total
cut_off_materials,mixing cathode materials,cathode active material (LMO),technosphere,cathode_active_material_lmo/py_am_mixing_total
cut_off_materials,mixing cathode materials,cathode active material (NCA),technosphere,cathode_active_material_nca/py_am_mixing_total
cut_off_materials,mixing cathode materials,cathode active material (NMC333),technosphere,cathode_active_material_nmc333/py_am_mixing_total
cut_off_materials,mixing cathode materials,cathode active material (NMC532),technosphere,cathode_active_material_nmc532/py_am_mixing_total
cut_off_materials,mixing cathode materials,cathode active material (NMC622),technosphere,cathode_active_material_nmc622/py_am_mixing_total
cut_off_materials,mixing cathode materials,cathode active material (NMC811),technosphere,cathode_active_material_nmc811/py_am_mixing_total
cut_off_materials,mixing cathode materials,cathode active material (50%/50% NMC532/LMO - ),technosphere,cathode_active_material_50_50_nmc532_lmo/py_am_mixing_total
cut_off_materials,mixing cathode materials,cathode binder (PVDF),technosphere,cathode_binder_pvdf/py_am_mixing_total
cut_off_materials,mixing cathode materials,cathode carbon black,technosphere,cathode_carbon_black/py_am_mixing_total
